Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","436.45","1.94%","432.00","20,35,547","1,08,449.85","18.89","42.87","624.95","394.00","4.92%","0.55%","-26.07%","4.04%","20.04%","1.79","0.46%","9.32%","4.60%","12.66","432.14","500.03","53.89","76.00%","87.50%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,108.10","0.62%","1,102.30","17,49,088","1,07,845.14","74.28","81.20","1,301.70","903.00","10.47%","16.04%","-11.17%","80.87%","294.48%","9.97","0.18%","14.89%","11.73%","10.84","1,044.68","1,062.16","56.03","70.00%","87.50%"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","1,051.30","2.09%","1,044.40","11,75,870","1,07,241.86","31.27","20.56","1,306.20","926.75","-8.57%","-12.36%","11.27%","67.85%","166.32%","2.07","0.19%","13.28%","8.16%","54.82","1,161.61","1,116.16","38.12","76.00%","87.50%"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","406.15","2.01%","401.15","51,28,549","1,07,148.98","14.70","15.67","481.50","312.55","-3.16%","-7.37%","0.25%","149.94%","68.18%","2.65","3.52%","22.32%","28.12%","24.54","412.81","411.94","52.90","75.51%","87.50%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","752.30","2.85%","737.00","30,32,002","1,07,084.81","46.32","36.24","811.95","565.00","12.84%","19.58%","0.29%","95.48%","424.21%","7.98","0.44%","11.86%","17.42%","9.03","680.73","690.09","66.82","76.00%","87.50%"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","408.30","2.76%","400.00","30,40,201","1,07,050.26","28.15","23.37","410.70","243.00","16.21%","22.04%","49.40%","120.70%","251.53%","2.83","-","12.01%","9.58%","13.24","367.02","340.72","62.69","76.00%","86.13%"
"Vedanta","https://scanx.trade/company/vedanta-ltd","272.55","0.44%","273.80","1,18,89,321","1,06,577.63","4.23","58.51","360.00","157.17","-11.00%","-1.18%","65.24%","158.05%","168.21%","2.14","12.53%","17.92%","10.06%","13.95","306.27","246.42","37.06","75.86%","84.86%"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","2,525.10","-0.27%","2,543.10","5,24,763","1,04,285.61","53.94","27.16","2,716.50","1,909.70","5.61%","22.92%","-0.06%","46.17%","77.54%","6.41","0.04%","20.28%","13.33%","48.99","2,427.10","2,275.06","58.02","75.00%","87.50%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,244.30","-1.36%","1,244.90","81,06,606","1,03,857.87","25.49","27.16","1,414.90","1,148.40","-1.91%","2.67%","-1.98%","20.69%","13.94%","2.78","0.63%","19.74%","13.94%","333.59","1,304.58","1,267.68","35.49","78.00%","90.58%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","553.45","3.75%","536.10","23,81,375","1,01,474.10","35.38","23.78","617.35","427.75","-2.97%","13.15%","7.49%","81.73%","229.83%","2.86","0.36%","8.21%","7.51%","11.18","561.13","517.18","47.05","72.61%","86.06%"
